scenario,day,bps_1nft,bps_3nft,reward_per_user_1nft,reward_per_user_3nft,cum_reward_per_user_1nft,cum_reward_per_user_3nft,raw_stake_1nft,raw_stake_3nft,daily_emission,cumulative_emission
A,1,28,78,2471.449787,2483.772532,2471.449787,2483.772532,2791.449787,2803.772532,123880.557957,123880.557957
A,7,196,546,2319.590442,2466.821447,16756.083943,17319.128936,17076.083943,17639.128936,119660.297216,851880.321985
A,14,392,1092,2168.907047,2457.638089,32377.197099,34546.870549,32697.197099,34866.870549,115663.628384,1673101.691196
A,30,840,2340,1891.440857,2446.625392,64620.342511,73768.404207,64940.342511,74088.404207,108451.656208,3459718.667961
A,60,1680,4680,1516.111383,2418.656321,115195.031715,146796.006719,115515.031715,147116.006719,98369.192583,6549775.960855
A,90,2520,7020,1244.966170,2358.154098,156286.043683,218510.103981,156606.043683,218830.103981,90078.006690,9369903.691592
A,120,3360,9360,1034.612058,2261.479593,190253.725937,287842.093861,190573.725937,288162.093861,82402.291271,11952395.494963
A,150,4200,11700,865.085349,2134.055408,218578.556757,353778.273722,218898.556757,354098.273722,74978.518935,14308920.761958
A,180,5040,14040,725.602702,1984.291531,242303.669478,415523.247658,242623.669478,415843.247658,67747.355822,16445672.928392
A,210,5880,16380,609.527216,1820.918978,262220.481798,472543.375164,262540.481798,472863.375164,60761.154832,18369096.424043
A,240,6720,18720,512.321679,1651.732018,278957.087655,524554.425421,279277.087655,524874.425421,54101.342422,20087787.826911
A,250,7000,19500,483.509856,1595.187067,283920.465537,540760.604293,284240.465537,541080.604293,51967.423095,20617026.745736
B,1,28,78,617.862447,620.943133,617.862447,620.943133,937.862447,940.943133,123880.557957,123880.557957
B,7,196,546,580.908050,615.694922,4193.425346,4325.377874,4513.425346,4645.377874,119660.297216,851880.321985
B,14,392,1092,543.562259,613.074025,8107.238917,8623.777995,8427.238917,8943.777995,115663.628384,1673101.691196
B,30,840,2340,474.448463,610.068099,16191.994542,18405.192137,16511.994542,18725.192137,108451.656208,3459718.667961
B,60,1680,4680,380.665127,603.026799,28884.726176,36613.033432,29204.726176,36933.033432,98369.192583,6549775.960855
B,90,2520,7020,312.780784,587.999283,39205.259060,54493.777855,39525.259060,54813.777855,90078.006690,9369903.691592
B,120,3360,9360,260.049747,563.973166,47741.205436,71782.749514,48061.205436,72102.749514,82402.291271,11952395.494963
B,150,4200,11700,217.513732,532.271457,54861.929668,88227.277952,55181.929668,88547.277952,74978.518935,14308920.761958
B,180,5040,14040,182.491320,494.982239,60828.110139,103628.619145,61148.110139,103948.619145,67747.355822,16445672.928392
B,210,5880,16380,153.330231,454.281318,65837.799180,117853.165060,66157.799180,118173.165060,60761.154832,18369096.424043
B,240,6720,18720,128.899325,412.114100,70048.362119,130829.516150,70368.362119,131149.516150,54101.342422,20087787.826911
B,250,7000,19500,121.656241,398.017990,71297.173660,134873.093797,71617.173660,135193.093797,51967.423095,20617026.745736
C,1,28,78,247.144979,248.377253,247.144979,248.377253,567.144979,568.377253,123880.557957,123880.557957
C,7,196,546,232.893669,245.747520,1679.515321,1728.005967,1999.515321,2048.005967,119660.297216,851880.321985
C,14,392,1092,218.193131,244.461383,3249.808865,3442.597900,3569.808865,3762.597900,115663.628384,1673101.691196
C,30,840,2340,190.756603,243.050022,6498.108282,7340.766390,6818.108282,7660.766390,108451.656208,3459718.667961
C,60,1680,4680,153.315979,240.160791,11606.154500,14592.949343,11926.154500,14912.949343,98369.192583,6549775.960855
C,90,2520,7020,126.117282,234.194744,15765.319592,21714.295175,16085.319592,22034.295175,90078.006690,9369903.691592
C,120,3360,9360,104.941438,224.667727,19208.607923,28600.974057,19528.607923,28920.974057,82402.291271,11952395.494963
C,150,4200,11700,87.830918,212.083158,22083.067541,35152.615507,22403.067541,35472.615507,74978.518935,14308920.761958
C,180,5040,14040,73.724721,197.264703,24492.789238,41289.902475,24812.789238,41609.902475,67747.355822,16445672.928392
C,210,5880,16380,61.967660,181.076960,26517.059008,46959.326689,26837.059008,47279.326689,60761.154832,18369096.424043
C,240,6720,18720,52.110047,164.295323,28219.009446,52132.141862,28539.009446,52452.141862,54101.342422,20087787.826911
C,250,7000,19500,49.186262,158.683430,28723.890408,53744.216575,29043.890408,54064.216575,51967.423095,20617026.745736
